case_id,family,n_vars,n_clauses,width,status,witness,assignments,nodes,decisions,propagations,conflicts,literal_checks,xor_source_rows,xor_source_literals,xor_calls,xor_row_checks,xor_pairs,xor_pair_bit_volume,xor_derived,xor_peak_rows,xor_cutoffs,xor_forced
cnf-only-n14-s6,cnf-only,14,56,0,SAT,01001010000100,0,6,5,8,0,952,0,0,0,0,0,0,0,0,0,0
cnf-only-n14-s6,cnf-only,14,56,2,SAT,01001010000100,0,6,5,8,0,952,0,0,0,0,0,0,0,0,0,0
cnf-only-n14-s6,cnf-only,14,56,3,SAT,01001010000100,0,6,5,8,0,952,0,0,0,0,0,0,0,0,0,0
cnf-only-n14-s6,cnf-only,14,56,4,SAT,01001010000100,0,6,5,8,0,952,0,0,0,0,0,0,0,0,0,0
mixed-n14-s7,mixed,14,56,0,SAT,01000011011110,0,9,5,23,3,1950,7,21,0,0,0,0,0,0,0,0
mixed-n14-s7,mixed,14,56,2,SAT,01000011011110,0,7,4,14,2,1489,7,21,5,35,18,236,3,6,0,0
mixed-n14-s7,mixed,14,56,3,SAT,01000011011110,0,3,2,12,0,702,7,21,3,21,276,3501,18,24,0,2
mixed-n14-s7,mixed,14,56,4,SAT,01000011011110,0,3,2,12,0,702,7,21,3,21,703,9062,32,38,0,2
planted-n14-s7,planted,14,56,0,SAT,01001000100101,0,4,2,16,1,1305,7,21,0,0,0,0,0,0,0,0
planted-n14-s7,planted,14,56,2,SAT,01001000100101,0,4,2,16,1,1305,7,21,2,14,3,42,1,3,0,0
planted-n14-s7,planted,14,56,3,SAT,01001000100101,0,4,2,14,1,956,7,21,3,21,1863,24310,80,48,0,2
planted-n14-s7,planted,14,56,4,SAT,01001000100101,0,4,2,14,1,956,7,21,3,21,5391,71739,152,78,0,2
cnf-only-n14-s7,cnf-only,14,56,0,SAT,01000100011110,0,13,7,24,5,2425,0,0,0,0,0,0,0,0,0,0
cnf-only-n14-s7,cnf-only,14,56,2,SAT,01000100011110,0,13,7,24,5,2425,0,0,0,0,0,0,0,0,0,0
cnf-only-n14-s7,cnf-only,14,56,3,SAT,01000100011110,0,13,7,24,5,2425,0,0,0,0,0,0,0,0,0,0
cnf-only-n14-s7,cnf-only,14,56,4,SAT,01000100011110,0,13,7,24,5,2425,0,0,0,0,0,0,0,0,0,0
cycle-n14-0,cycle,14,28,0,SAT,00000000000000,0,2,1,13,0,436,14,28,0,0,0,0,0,0,0,0
cycle-n14-0,cycle,14,28,2,SAT,00000000000000,0,2,1,13,0,436,14,28,1,14,4095,48321,77,91,0,0
cycle-n14-0,cycle,14,28,3,SAT,00000000000000,0,2,1,13,0,436,14,28,1,14,4095,48321,77,91,0,0
cycle-n14-0,cycle,14,28,4,SAT,00000000000000,0,2,1,13,0,436,14,28,1,14,20000,234932,748,762,1,0
cycle-n14-1,cycle,14,28,0,UNSAT,,0,3,1,26,2,816,14,28,0,0,0,0,0,0,0,0
cycle-n14-1,cycle,14,28,2,UNSAT,,0,1,0,0,1,56,14,28,1,14,1111,12131,77,91,0,0
cycle-n14-1,cycle,14,28,3,UNSAT,,0,1,0,0,1,56,14,28,1,14,1111,12131,77,91,0,0
cycle-n14-1,cycle,14,28,4,UNSAT,,0,3,1,26,2,816,14,28,1,14,20000,234932,748,762,1,0
width-gap-0,width-gap,6,16,0,SAT,000000,0,4,3,3,0,149,4,12,0,0,0,0,0,0,0,0
width-gap-0,width-gap,6,16,2,SAT,000000,0,4,3,3,0,149,4,12,3,12,4,23,0,3,0,0
width-gap-0,width-gap,6,16,3,SAT,000000,0,4,3,3,0,149,4,12,3,12,24,142,2,6,0,0
width-gap-0,width-gap,6,16,4,SAT,000000,0,4,3,3,0,149,4,12,3,12,45,264,6,7,0,0
width-gap-1,width-gap,6,16,0,UNSAT,,0,15,7,20,8,440,4,12,0,0,0,0,0,0,0,0
width-gap-1,width-gap,6,16,2,UNSAT,,0,7,3,4,4,304,4,12,7,28,6,34,0,3,0,0
width-gap-1,width-gap,6,16,3,UNSAT,,0,3,1,0,2,128,4,12,3,12,14,81,4,6,0,0
width-gap-1,width-gap,6,16,4,UNSAT,,0,1,0,0,1,48,4,12,1,4,4,23,3,7,0,0
